product_id,product_sku,product_parent_sku,product_price,product_name,product_desc,product_s_desc,category_name,mf_name,file_url,file_url_thumb,product_weight,product_weight_uom,product_length,product_width,product_height,product_lwh_uom,related_products,variant_type,variant_value,product_special
,7-899,7-899,58.95,Super Soft Queen Size Blanket,Measures 90&rdquo; x 90&rdquo;.,DEEP SEA SOFT BLANKET,Home/Blankets;Blankets,MF Name,7-899/7-899_400.jpg,7-899/7-899_125.jpg,4,lbs,0,0,0,in,,,,Y
,7-902,7-902,58.95,Super Soft Queen Size Blanket,Measures 90&rdquo; x 90&rdquo;.,MIDNIGHT TIGER SOFT BLANKET,Home/Blankets;Blankets,MF Name,7-902/7-902_400.jpg,7-902/7-902_125.jpg,4,lbs,0,0,0,in,,,,Y
,755-1,755-1,58.95,Super Soft Queen Size Blanket,Measures 90&rdquo; x 90&rdquo;.,DEADLY TIGER HEAD PRINT BLNKT,Home/Blankets;Blankets,MF Name,755-1/755-1_400.jpg,755-1/755-1_125.jpg,4,lbs,0,0,0,in,,,,Y
,AUAC,AUAC,28.95,Maxam&reg; 300psi Air Compressor,"Features air gauge, vehicle power source plug, 3 nozzle adapters, and snap lock air nozzle. Measures 5-3/4&quot; x 2-3/4&quot; x 4-3/8&quot;. Clam shell.",AUTO 300 PSI AIR COMP,Tools/Auto Vacs;Tools,MF Name,AUAC/AUAC_400.jpg,AUAC/AUAC_125.jpg,2,lbs,9,9,3,in,,,,Y
,AUACLT,AUACLT,47.95,Maxam&reg; 3-in-1 300psi Air Compressor and Flashlight,"Features emergency flashing light, flashlight, air compressor, air gauge, vehicle power source plug, and 3 nozzle adapters. Measures 10-1/2&quot; x 5-7/8&quot; x 4&quot;. Gift boxed.",3 IN 1 AIR COMPRESSOR / LIGHT,Tools/Emergency kits,MF Name,AUACLT/AUACLT_400.jpg,AUACLT/AUACLT_125.jpg,2.6,lbs,11.25,4.5,6.5,in,,,,Y
,AUVCAC,AUVCAC,49.95,Titanium Dirt Magic&trade; 2-in-1 Heavy-Duty Auto Vac and Air Compressor,Features 300psi air compressor with air gauge and vehicle power source plug. Metallic titanium color. Measures 13-3/4&quot; x 3-7/8&quot; x 5-1/4&quot;. Gift boxed.,TITANIUM HEAVY DUTY AUTO VAC,Tools/Auto Vacs,MF Name,AUVCAC/AUVCAC_400.jpg,AUVCAC/AUVCAC_125.jpg,2.7,lbs,14.5,6,4.5,in,,,,Y
,AUVWD2,AUVWD2,24.95,Dirt Magic&trade; Wet/Dry Auto Vacuum,"Features 8&rsquo; cord with vehicle power source plug, operates on 12 volts, washable filter, and compact, lightweight design. Measures 11-1/4&rdquo; x 4-5/8&rdquo; x 3-1/8&rdquo;. Gift boxed.",WET/DRY AUTO VACUUM,Tools/Auto Vacs,MF Name,AUVWD2/AUVWD2_400.jpg,AUVWD2/AUVWD2_125.jpg,1.3,lbs,11,4,0.03,in,,,,Y
,AUVWD3,AUVWD3,44.95,Titanium Dirt Magic&trade; Heavy-Duty Wet/Dry Auto or Garage Vac,"Features vehicle power source plug, 39&quot; hose, 3 nozzles, and brush attachment. Metallic titanium color. 90 watt/8 amp motor, 3 meter cord and 2 liter reservoir. Measures 8&quot; x 9&quot; x 9-1/2&quot;. Gift boxed.",HEAVY DUTY AUTO WET/DRY VAC,Tools/Auto Vacs,MF Name,AUVWD3/AUVWD3_400.jpg,AUVWD3/AUVWD3_125.jpg,2.4,lbs,9,8.75,10,in,,,,Y
,BCATT,BCATT,76.95,Embassy&trade; Solid Genuine Leather Attach&eacute; Case,"Features roomy interior, saddlebag closure and multiple pockets. Under the flap is a large pocket for file folders or books and 2 smaller pockets. Also features removable, adjustable shoulder strap. Measures 14&rdquo; x 11&rdquo; x 5-1/2&rdquo; deep.",BLACK COWHIDE LEATHER CASE,Luggage/Briefcases;Luggage,MF Name,BCATT/BCATT_400.jpg,BCATT/BCATT_125.jpg,2.85,lbs,16.5,12,2,in,,,,Y
,BCCB,BCCB,72.95,Maxam&reg; 16&quot; Nylon Expandable Briefcase/Computer Bag,"Features removable shoulder strap, multiple zippered compartments including padded compartment for laptop and padded hand straps. Measures 16&quot; x 12-1/2&quot; x 7&quot;.","16"" EXPAN BRIEFCASE / COMP BAG",Luggage/Briefcases;Luggage,MF Name,BCCB/BCCB_400.jpg,BCCB/BCCB_125.jpg,2.4,lbs,18,14,2,in,,,,Y
